Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Programming Abstractions: Python,2025 Winter Quarter,Undergraduate,Student Option,30502,Lecture,In Person,7 units,,Open,2,207,205,0,0,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.","Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE).","Enroll in lecture and associated secondary lab. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.","Days & Times: MW 07:10PM-08:45PM, Room: J Bask Aud 101, Instructor: Campesato,O.A., Dates: 01/06/25 - 03/14/25","#31605 DIS 02A, M 01:20PM-02:25PM, Staff, Loc: Soc Sci 1 161, Enrl: 33 / 35, Wait: 0 / 0, Open; #31608 DIS 02B, M 02:40PM-03:45PM, Staff, Loc: Soc Sci 1 161, Enrl: 34 / 35, Wait: 0 / 0, Open; #31607 DIS 02C, Tu 11:40AM-12:45PM, Staff, Loc: N. Sci Annex 103, Enrl: 35 / 38, Wait: 0 / 0, Open; #31616 DIS 02D, Tu 07:10PM-08:15PM, Staff, Loc: Kresge Acad 3301, Enrl: 35 / 35, Wait: 0 / 0, Closed; #31606 DIS 02E, W 10:40AM-11:45AM, Staff, Loc: Earth&Marine B214, Enrl: 33 / 40, Wait: 0 / 0, Open; #31604 DIS 02F, W 12:00PM-01:05PM, Staff, Loc: Earth&Marine B210, Enrl: 35 / 40, Wait: 0 / 0, Open"
Programming Abstractions: Python,2025 Winter Quarter,Undergraduate,Student Option,30501,Lecture,In Person,7 units,,Open,2,200,198,0,0,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30. See CSE Testout Exam for resources and further information.","Prerequisite(s): CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE).","Enroll in lecture and associated secondary section. Enrollment restricted to frosh, sophomores, or declared or proposed majors in the following: computer science, computer engineering, computer game design, biomolecular engineering and bioinformatics, electrical engineering, network and digital technology, robotics engineering, and technology information management; or Bioinformatics majors, during First Pass enrollment.","Days & Times: TuTh 01:30PM-03:05PM, Room: J Bask Aud 101, Instructor: Yue,H., Dates: 01/06/25 - 03/14/25","#32950 DIS 03A, W 08:00AM-09:05AM, Staff, Loc: PhysSciences 136, Enrl: 28 / 35, Wait: 0 / 0, Open; #32951 DIS 03B, W 10:40AM-11:45AM, Staff, Loc: PhysSciences 136, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32952 DIS 03C, Th 08:30AM-09:35AM, Staff, Loc: J Baskin Engr 372, Enrl: 31 / 35, Wait: 0 / 0, Open; #32954 DIS 03D, Th 07:10PM-08:15PM, Staff, Loc: J Baskin Engr 372, Enrl: 34 / 35, Wait: 0 / 0, Open; #32953 DIS 03E, F 12:00PM-01:05PM, Staff, Loc: PhysSciences 140, Enrl: 32 / 35, Wait: 0 / 0, Open; #32955 DIS 03F, F 04:00PM-05:05PM, Staff, Loc: PhysSciences 140, Enrl: 33 / 35, Wait: 0 / 0, Open; #45994 DIS 03G, M 12:00PM-01:05PM, Staff, Loc: J Baskin Engr 372, Enrl: 5 / 30, Wait: 0 / 0, Open"
Machine Learning Basics: Data Analysis and Empirical Methods,2025 Winter Quarter,Undergraduate,Student Option,30500,Lecture,In Person,5 units,SR,Open,5,220,215,0,0,"Introduction to the basic mathematical concepts and programming abstractions required for modern machine learning, data science, and empirical science. The mathematical foundations include basic probability, linear algebra, and optimization. The programming abstractions include data manipulation and visualization. The principles of empirical analysis, evaluation, critique and reproducibility are emphasized. Mathematical and programming abstractions are grounded in empirical studies including data-driven evidential reasoning, predictive modeling, and causal analysis.","Prerequisite(s): MATH 19B or MATH 20B, and CSE 30.",Enroll in lecture and associated discussion section. Enrollment restricted to proposed and declared computer science majors and declared Biomolecular Engineering and Bioinformatics during first pass enrollment.,"Days & Times: MWF 09:20AM-10:25AM, Room: Media Theater M110, Instructor: Rudnick,A.J., Dates: 01/06/25 - 03/14/25","#31695 DIS 01A, M 02:40PM-03:45PM, Staff, Loc: Engineer 2 194, Enrl: 42 / 45, Wait: 0 / 0, Open; #31696 DIS 01B, M 04:00PM-05:05PM, Staff, Loc: Kresge Acad 3101, Enrl: 42 / 45, Wait: 0 / 0, Open; #31697 DIS 01C, Tu 08:00AM-09:05AM, Staff, Loc: Engineer 2 194, Enrl: 38 / 45, Wait: 0 / 0, Open; #31698 DIS 01D, Tu 01:30PM-02:35PM, Staff, Loc: Kresge Acad 3101, Enrl: 45 / 45, Wait: 0 / 0, Closed; #45996 DIS 01E, W 12:00PM-01:05PM, Staff, Loc: J Baskin Engr 372, Enrl: 27 / 30, Wait: 0 / 0, Open; #45995 DIS 01F, M 01:20PM-02:25PM, Staff, Loc: J Baskin Engr 372, Enrl: 21 / 30, Wait: 0 / 0, Open"
Introduction to Networking and the Internet,2025 Winter Quarter,Undergraduate,Student Option,30498,Lecture,In Person,5 units,PE-T,Open,31,180,149,0,0,"Introduction to the evolution, technological basis, and services of the Internet, with descriptions of its underlying communications structure, routing algorithms, peer-to-peer hierarchy, reliability, and packet switching. Network security, mail, multimedia and data compression issues, HTML, and digital images. Students who have completed course 150 cannot receive credit for this course. (Formerly Computer Engineering 80N.)",,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 05:20PM-06:55PM, Room: Thim Lecture 003, Instructor: Graziani,R.M., Dates: 01/06/25 - 03/14/25","#32093 DIS 01A, M 08:00AM-09:05AM, Staff, Loc: Engineer 2 192, Enrl: 22 / 45, Wait: 0 / 0, Open; #32096 DIS 01B, M 02:40PM-03:45PM, Staff, Loc: Engineer 2 192, Enrl: 45 / 45, Wait: 0 / 0, Closed; #32094 DIS 01C, Tu 08:00AM-09:05AM, Staff, Loc: Engineer 2 192, Enrl: 37 / 45, Wait: 0 / 0, Open; #32095 DIS 01D, W 05:20PM-06:25PM, Staff, Loc: Engineer 2 192, Enrl: 45 / 45, Wait: 0 / 0, Closed"
Logic Design,2025 Winter Quarter,Undergraduate,Student Option,30497,Lecture,In Person,5 units,,Closed,0,0,107,0,0,"Boolean algebra, logic minimization, finite-state machine design, sequential circuits, common logic elements, programmable logic devices, and an introduction to system level design. The electrical behavior of circuits including three state outputs, propagation delay, logic levels, and fanout.",Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100L is required.,Concurrent enrollment in 100L is required.,"Days & Times: MWF 01:20PM-02:25PM, Room: J Baskin Engr 152, Instructor: Richmond,D., Dates: 01/06/25 - 03/14/25",
Logic Design Laboratory,2025 Winter Quarter,Undergraduate,Student Option,32103,Laboratory,In Person,2 units,,Closed,0,0,26,0,0,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,"Concurrent enrollment in CSE 100 is required. Enrollment restricted to Computer Engineering, Electrical Engineering, and Robotics Engineering majors during First Pass and Second Pass enrollment.","Days & Times: TuTh 09:50AM-11:40AM, Room: J Baskin Engr 250, Instructor: Richmond,D., Dates: 01/06/25 - 03/14/25",
Logic Design Laboratory,2025 Winter Quarter,Undergraduate,Student Option,32104,Laboratory,In Person,2 units,,Closed,0,0,28,0,0,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,Concurrent enrollment in CSE 100 is required.,"Days & Times: TuTh 11:40AM-01:30PM, Room: J Baskin Engr 250, Instructor: Richmond,D., Dates: 01/06/25 - 03/14/25",
Logic Design Laboratory,2025 Winter Quarter,Undergraduate,Student Option,32105,Laboratory,In Person,2 units,,Closed,0,0,29,0,0,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,Concurrent enrollment in CSE 100 is required.,"Days & Times: TuTh 01:30PM-03:20PM, Room: J Baskin Engr 250, Instructor: Richmond,D., Dates: 01/06/25 - 03/14/25",
Logic Design Laboratory,2025 Winter Quarter,Undergraduate,Student Option,32106,Laboratory,In Person,2 units,,Closed,0,0,24,0,0,"Laboratory sequence illustrating topics covered in course 100. Two 2-hour laboratory sessions per week. Weekly laboratory assignments which require the use of the oscilloscopes, TTL circuits, computer-aided design and simulation tools, and programmable logic.",Prerequisite(s): CSE 12; previous or concurrent enrollment in CSE 100 is required.,Concurrent enrollment in CSE 100 is required.,"Days & Times: TuTh 03:20PM-05:10PM, Room: J Baskin Engr 250, Instructor: Richmond,D., Dates: 01/06/25 - 03/14/25",
Introduction to Data Structures and Algorithms,2025 Winter Quarter,Undergraduate,Student Option,30496,Lecture,In Person,5 units,,Closed,0,270,282,0,0,"Introduction to abstract data types and basics of algorithms. Linked lists, stacks, queues, hash tables, trees, heaps, and graphs will be covered. Students will also be taught how to derive big-Oh analysis of simple algorithms. All assignments will be in C/C++. (Formerly Computer Science 101 Algorithms and Abstract Data Types.)",Prerequisite(s): CSE 12 or BME 160; CSE 13E or ECE 13 or CSE 13S; and CSE 16; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B.,"Enrollment restricted to Computer Science, Computer Engineering, Computer Game Design, Network and Digital Technology, Bioinformatics, Biomolecular Engineering and Bioinformatics, and Robotics Engineering majors and Computer Science proposed majors during First Pass enrollment. Enrollment restricted to Computer Science, Computer Engineering, Computer Game Design, Bioinformatics, Biomolecular Engineering and Bioinformatics, Robotics, Technology and Information Management majors, minors and proposed majors during Second Pass enrollment. Major restrictions lifted after Second Pass enrollment appointments.","Days & Times: MWF 02:40PM-03:45PM, Room: Media Theater M110, Instructor: Tantalo,P., Dates: 01/06/25 - 03/14/25","#32127 LBS 01A, , Staff, Loc: TBD In Person, Enrl: 41 / 41, Wait: 0 / 0, Closed; #32126 LBS 01B, , Staff, Loc: TBD In Person, Enrl: 36 / 37, Wait: 0 / 0, Open; #32125 LBS 01C, , Staff, Loc: TBD In Person, Enrl: 31 / 33, Wait: 0 / 0, Open; #32120 LBS 01D, , Staff, Loc: TBD In Person, Enrl: 28 / 30, Wait: 0 / 0, Open; #32124 LBS 01E, , Staff, Loc: TBD In Person, Enrl: 18 / 30, Wait: 0 / 0, Open; #32123 LBS 01F, , Staff, Loc: TBD In Person, Enrl: 12 / 30, Wait: 0 / 0, Open; #32527 LBS 01G, , Staff, Loc: TBD In Person, Enrl: 6 / 30, Wait: 0 / 0, Open; #32528 LBS 01H, , Staff, Loc: TBD In Person, Enrl: 8 / 30, Wait: 0 / 0, Open"
Introduction to Data Structures and Algorithms,2025 Winter Quarter,Undergraduate,Student Option,30495,Lecture,In Person,5 units,,Open,34,240,206,0,0,"Introduction to abstract data types and basics of algorithms. Linked lists, stacks, queues, hash tables, trees, heaps, and graphs will be covered. Students will also be taught how to derive big-Oh analysis of simple algorithms. All assignments will be in C/C++. (Formerly Computer Science 101 Algorithms and Abstract Data Types.)",Prerequisite(s): CSE 12 or BME 160; CSE 13E or ECE 13 or CSE 13S; and CSE 16; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B.,"Enroll in lecture and associated secondary lab. Enrollment restricted to Computer Science, Computer Engineering, Computer Game Design, Network and Digital Technology, Bioinformatics, Biomolecular Engineering and Bioinformatics, and Robotics Engineering majors and Computer Science proposed majors during First Pass enrollment. Enrollment restricted to Computer Science, Computer Engineering, Computer Game Design, Bioinformatics, Biomolecular Engineering and Bioinformatics, Robotics, Technology and Information Management majors, minors and proposed majors during Second Pass enrollment. Major restrictions lifted after Second Pass enrollment appointments.","Days & Times: TuTh 11:40AM-01:15PM, Room: Media Theater M110, Instructor: Montazeri,N., Dates: 01/06/25 - 03/14/25","#32122 LBS 02A, M 12:15PM-01:20PM, Staff, Loc: Kresge Acad 3401, Enrl: 38 / 40, Wait: 0 / 0, Open; #32121 LBS 02B, Tu 04:15PM-05:20PM, Staff, Loc: Kresge Acad 3401, Enrl: 36 / 40, Wait: 0 / 0, Open; #32119 LBS 02C, W 09:00AM-10:05AM, Staff, Loc: Kresge Acad 3401, Enrl: 17 / 40, Wait: 0 / 0, Open; #32118 LBS 02D, W 10:15AM-11:20AM, Staff, Loc: Kresge Acad 3401, Enrl: 36 / 40, Wait: 0 / 0, Open; #32117 LBS 02E, Th 09:30AM-10:35AM, Staff, Loc: Kresge Acad 3401, Enrl: 40 / 40, Wait: 0 / 0, Closed; #32116 LBS 02F, F 01:30PM-02:35PM, Staff, Loc: Kresge Acad 3401, Enrl: 39 / 40, Wait: 0 / 0, Open"
Mathematical Thinking for Computer Science,2025 Winter Quarter,Undergraduate,Student Option,30493,Lecture,In Person,5 units,,Open,36,140,104,0,0,"Introduction to problem-solving and proof techniques for computer science: modeling CS problems using mathematical concepts; solving problems and inventing mathematical arguments; writing rigorous, understandable proofs using LaTeX. Applications in all CS areas with focus on analyzing algorithms, programs, and protocols.",Prerequisite(s): CSE 101.,Enroll in lecture and associated discussion section. Enrollment restricted to Computer Science B.S. during First Pass enrollment. Major restrictions lifted after First Pass enrollment.,"Days & Times: MWF 04:00PM-05:05PM, Room: ClassroomUnit 002, Instructor: Fremont,D., Dates: 01/06/25 - 03/14/25","#31810 DIS 01A, M 12:00PM-01:05PM, Staff, Loc: N. Sci Annex 103, Enrl: 20 / 30, Wait: 0 / 0, Open; #31811 DIS 01B, M 07:10PM-08:15PM, Staff, Loc: J Baskin Engr 165, Enrl: 11 / 30, Wait: 0 / 0, Open; #31812 DIS 01C, Tu 11:40AM-12:45PM, Staff, Loc: PhysSciences 140, Enrl: 15 / 30, Wait: 0 / 0, Open; #31813 DIS 01D, Tu 07:10PM-08:15PM, Staff, Loc: J Baskin Engr 156, Enrl: 16 / 30, Wait: 0 / 0, Open; #31814 DIS 01E, , Staff, Loc:, Enrl: 2 / 0, Wait: 0 / 0, Closed; #31815 DIS 01F, W 12:00PM-01:05PM, Staff, Loc: PhysSciences 140, Enrl: 22 / 30, Wait: 0 / 0, Open; #32956 DIS 01G, , Staff, Loc:, Enrl: 1 / 0, Wait: 0 / 0, Closed; #32957 DIS 01H, Th 11:40AM-12:45PM, Staff, Loc: N. Sci Annex 102, Enrl: 17 / 30, Wait: 0 / 0, Open"
Introduction to Analysis of Algorithms,2025 Winter Quarter,Undergraduate,Student Option,30492,Lecture,In Person,5 units,,Open,12,224,212,0,0,"Methods for the systematic construction and mathematical analysis of algorithms. Order notation, the RAM model of computation, lower bounds, and recurrence relations are covered. The algorithm design techniques include divide-and-conquer, branch and bound, and dynamic programming. Applications to combinatorial, graph, string, and geometric algorithms. (Formerly Computer  Science 102.)",Prerequisite(s): CSE 101.,Enroll in lecture and associated discussion section. Enrollment restricted to computer science B.S. majors during First Pass enrollment. Major restrictions lifted after First Pass enrollment.,"Days & Times: MWF 01:20PM-02:25PM, Room: Media Theater M110, Instructor: Im,S., Dates: 01/06/25 - 03/14/25","#32101 DIS 01A, Th 08:30AM-09:35AM, Staff, Loc: N. Sci Annex 103, Enrl: 25 / 38, Wait: 0 / 0, Open; #32100 DIS 01B, Th 07:10PM-08:15PM, Staff, Loc: PhysSciences 136, Enrl: 40 / 40, Wait: 0 / 0, Closed; #32099 DIS 01C, F 09:20AM-10:25AM, Staff, Loc: Earth&Marine B214, Enrl: 39 / 40, Wait: 0 / 0, Open; #32098 DIS 01D, F 04:00PM-05:05PM, Staff, Loc: PhysSciences 136, Enrl: 35 / 40, Wait: 0 / 0, Open; #32097 DIS 01E, W 05:20PM-06:25PM, Staff, Loc: Earth&Marine B214, Enrl: 38 / 40, Wait: 0 / 0, Open; #32102 DIS 01F, W 07:10PM-08:15PM, Staff, Loc: Earth&Marine B214, Enrl: 35 / 40, Wait: 0 / 0, Open"
